Date,Passengers
1950-01-01,111
1950-01-02,108
1950-01-03,88
1950-01-04,107
1950-01-05,101
1950-01-06,108
1950-01-07,90
1950-01-08,92
1950-01-09,106
1950-01-10,101
1950-01-11,98
1950-01-12,105
1950-01-13,112
1950-01-14,100
1950-01-15,102
1950-01-16,102
1950-01-17,89
1950-01-18,90
1950-01-19,90
1950-01-20,101
1950-01-21,98
1950-01-22,103
1950-01-23,107
1950-01-24,107
1950-01-25,111
1950-01-26,107
1950-01-27,110
1950-01-28,104
1950-01-29,116
1950-01-30,111
1950-01-31,102
1950-02-01,101
1950-02-02,106
1950-02-03,104
1950-02-04,92
1950-02-05,102
1950-02-06,102
1950-02-07,93
1950-02-08,99
1950-02-09,104
1950-02-10,110
1950-02-11,97
1950-02-12,104
1950-02-13,100
1950-02-14,91
1950-02-15,103
1950-02-16,107
1950-02-17,117
1950-02-18,100
1950-02-19,101
1950-02-20,97
1950-02-21,90
1950-02-22,103
1950-02-23,100
1950-02-24,107
1950-02-25,104
1950-02-26,99
1950-02-27,98
1950-02-28,90
1950-03-01,114
1950-03-02,104
1950-03-03,119
1950-03-04,119
1950-03-05,126
1950-03-06,121
1950-03-07,111
1950-03-08,113
1950-03-09,117
1950-03-10,119
1950-03-11,112
1950-03-12,116
1950-03-13,122
1950-03-14,102
1950-03-15,125
1950-03-16,120
1950-03-17,130
1950-03-18,119
1950-03-19,126
1950-03-20,115
1950-03-21,114
1950-03-22,113
1950-03-23,117
1950-03-24,117
1950-03-25,110
1950-03-26,116
1950-03-27,111
1950-03-28,110
1950-03-29,120
1950-03-30,116
1950-03-31,120
1950-04-01,119
1950-04-02,119
1950-04-03,112
1950-04-04,108
1950-04-05,98
1950-04-06,115
1950-04-07,118
1950-04-08,115
1950-04-09,113
1950-04-10,110
1950-04-11,110
1950-04-12,115
1950-04-13,125
1950-04-14,126
1950-04-15,115
1950-04-16,108
1950-04-17,121
1950-04-18,111
1950-04-19,99
1950-04-20,104
1950-04-21,111
1950-04-22,116
1950-04-23,109
1950-04-24,120
1950-04-25,118
1950-04-26,116
1950-04-27,118
1950-04-28,129
1950-04-29,112
1950-04-30,124
1950-05-01,114
1950-05-02,112
1950-05-03,105
1950-05-04,114
1950-05-05,113
1950-05-06,122
1950-05-07,131
1950-05-08,127
1950-05-09,128
1950-05-10,114
1950-05-11,119
1950-05-12,119
1950-05-13,111
1950-05-14,118
1950-05-15,119
1950-05-16,108
1950-05-17,112
1950-05-18,116
1950-05-19,122
1950-05-20,110
1950-05-21,122
1950-05-22,115
1950-05-23,118
1950-05-24,115
1950-05-25,123
1950-05-26,132
1950-05-27,129
1950-05-28,115
1950-05-29,117
1950-05-30,104
1950-05-31,113
1950-06-01,138
1950-06-02,144
1950-06-03,138
1950-06-04,134
1950-06-05,144
1950-06-06,129
1950-06-07,142
1950-06-08,134
1950-06-09,146
1950-06-10,134
1950-06-11,138
1950-06-12,134
1950-06-13,130
1950-06-14,125
1950-06-15,143
1950-06-16,138
1950-06-17,138
1950-06-18,139
1950-06-19,129
1950-06-20,140
1950-06-21,136
1950-06-22,137
1950-06-23,134
1950-06-24,141
1950-06-25,137
1950-06-26,143
1950-06-27,125
1950-06-28,128
1950-06-29,133
1950-06-30,144
1950-07-01,157
1950-07-02,168
1950-07-03,159
1950-07-04,142
1950-07-05,148
1950-07-06,163
1950-07-07,158
1950-07-08,153
1950-07-09,161
1950-07-10,159
1950-07-11,143
1950-07-12,156
1950-07-13,153
1950-07-14,160
1950-07-15,149
1950-07-16,148
1950-07-17,154
1950-07-18,153
1950-07-19,141
1950-07-20,157
1950-07-21,149
1950-07-22,157
1950-07-23,148
1950-07-24,145
1950-07-25,150
1950-07-26,153
1950-07-27,165
1950-07-28,165
1950-07-29,163
1950-07-30,161
1950-07-31,155
1950-08-01,147
1950-08-02,146
1950-08-03,150
1950-08-04,163
1950-08-05,156
1950-08-06,149
1950-08-07,159
1950-08-08,153
1950-08-09,140
1950-08-10,159
1950-08-11,167
1950-08-12,150
1950-08-13,155
1950-08-14,150
1950-08-15,141
1950-08-16,149
1950-08-17,168
1950-08-18,156
1950-08-19,156
1950-08-20,159
1950-08-21,156
1950-08-22,144
1950-08-23,155
1950-08-24,159
1950-08-25,167
1950-08-26,147
1950-08-27,162
1950-08-28,152
1950-08-29,140
1950-08-30,150
1950-08-31,149
1950-09-01,148
1950-09-02,146
1950-09-03,135
1950-09-04,130
1950-09-05,133
1950-09-06,134
1950-09-07,149
1950-09-08,138
1950-09-09,126
1950-09-10,132
1950-09-11,124
1950-09-12,132
1950-09-13,131
1950-09-14,130
1950-09-15,140
1950-09-16,139
1950-09-17,136
1950-09-18,138
1950-09-19,122
1950-09-20,130
1950-09-21,142
1950-09-22,147
1950-09-23,125
1950-09-24,127
1950-09-25,135
1950-09-26,135
1950-09-27,127
1950-09-28,135
1950-09-29,145
